tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
MANNGTR,20:28:00,20:28:00,20:27:00,20:29:00,-0.016666666666666666,0.016666666666666666
IPSWICH,20:40:00,20:41:00,20:38:00,20:40:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,20:52:00,20:52:00,20:51:00,20:52:00,-0.016666666666666666,0.0
DISS,21:04:00,21:05:00,21:03:00,21:05:00,-0.016666666666666666,0.0
NRCH,21:24:00,,21:22:00,,-0.03333333333333333,
LIVST,,20:30:00,,20:31:00,,0.016666666666666666
STFD,,20:38:00,20:38:00,20:40:00,,0.03333333333333333
CHLMSFD,21:02:00,21:03:00,21:06:00,21:07:00,0.06666666666666667,0.06666666666666667
CLCHSTR,21:25:00,21:25:00,21:30:00,21:31:00,0.08333333333333333,0.1
MANNGTR,21:32:00,21:33:00,21:38:00,21:40:00,0.1,0.11666666666666667
IPSWICH,21:44:00,21:45:00,21:49:00,21:49:00,0.08333333333333333,0.06666666666666667
STWMRKT,21:55:00,21:56:00,21:59:00,22:00:00,0.06666666666666667,0.06666666666666667
DISS,22:08:00,22:09:00,22:11:00,22:12:00,0.05,0.05
NRCH,22:29:00,,22:28:00,,-0.016666666666666666,
LIVST,,21:30:00,,21:29:00,,-0.016666666666666666
STFD,,21:38:00,21:36:00,21:37:00,,-0.016666666666666666
CHLMSFD,22:04:00,22:05:00,22:08:00,22:09:00,0.06666666666666667,0.06666666666666667
CLCHSTR,22:24:00,22:25:00,22:28:00,22:28:00,0.06666666666666667,0.05
MANNGTR,22:33:00,22:34:00,22:35:00,22:37:00,0.03333333333333333,0.05
IPSWICH,22:46:00,22:47:00,22:46:00,22:46:00,0.0,-0.016666666666666666
STWMRKT,22:58:00,22:59:00,22:57:00,22:57:00,-0.016666666666666666,-0.03333333333333333
DISS,23:11:00,23:13:00,23:09:00,23:13:00,-0.03333333333333333,0.0
NRCH,23:32:00,,23:29:00,,-0.05,
LIVST,,22:30:00,,22:29:00,,-0.016666666666666666
STFD,,22:38:00,22:36:00,22:37:00,,-0.016666666666666666
CHLMSFD,23:04:00,23:05:00,23:05:00,23:06:00,0.016666666666666666,0.016666666666666666
CLCHSTR,23:24:00,23:24:00,23:21:00,23:23:00,-0.05,-0.016666666666666666
MANNGTR,23:32:00,23:33:00,23:30:00,23:32:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,23:44:00,23:45:00,23:41:00,23:44:00,-0.05,-0.016666666666666666
STWMRKT,23:56:00,23:57:00,23:54:00,23:55:00,-0.03333333333333333,-0.03333333333333333
DISS,00:09:00,00:10:00,00:07:00,00:09:00,-0.03333333333333333,-0.016666666666666666
NRCH,00:31:00,,00:25:00,,-0.1,
LIVST,,12:00:00,,11:59:00,,-0.016666666666666666
CLCHSTR,12:46:00,12:47:00,12:43:00,12:46:00,-0.05,-0.016666666666666666
MANNGTR,12:55:00,12:55:00,12:53:00,12:55:00,-0.03333333333333333,0.0
IPSWICH,13:07:00,13:08:00,13:04:00,13:07:00,-0.05,-0.016666666666666666
DISS,13:28:00,13:29:00,13:27:00,13:29:00,-0.016666666666666666,0.0
NRCH,13:50:00,,13:45:00,,-0.08333333333333333,
LIVST,,13:00:00,,12:59:00,,-0.016666666666666666
CLCHSTR,13:46:00,13:47:00,13:46:00,13:47:00,0.0,0.0
MANNGTR,13:55:00,13:55:00,13:54:00,13:56:00,-0.016666666666666666,0.016666666666666666
IPSWICH,14:07:00,14:08:00,14:06:00,14:08:00,-0.016666666666666666,0.0
DISS,14:28:00,14:29:00,14:27:00,14:29:00,-0.016666666666666666,0.0
NRCH,14:50:00,,14:45:00,,-0.08333333333333333,
LIVST,,06:25:00,,06:24:00,,-0.016666666666666666
STFD,,06:33:00,06:31:00,06:32:00,,-0.016666666666666666
CHLMSFD,06:57:00,06:58:00,06:57:00,06:58:00,0.0,0.0
WITHAME,07:09:00,07:09:00,07:08:00,07:09:00,-0.016666666666666666,0.0
CLCHSTR,07:22:00,07:23:00,07:21:00,07:22:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,07:31:00,07:31:00,07:30:00,07:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,07:42:00,07:44:00,07:42:00,07:44:00,0.0,0.0
STWMRKT,07:55:00,07:55:00,07:54:00,07:54:00,-0.016666666666666666,-0.016666666666666666
DISS,08:07:00,08:08:00,08:07:00,08:08:00,0.0,0.0
NRCH,08:27:00,,08:26:00,,-0.016666666666666666,
LIVST,,07:00:00,,06:59:00,,-0.016666666666666666
SHENFLD,,07:22:00,07:17:00,07:21:00,,-0.016666666666666666
CLCHSTR,07:50:00,07:51:00,07:48:00,07:50:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,07:59:00,07:59:00,07:57:00,07:58:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,08:11:00,08:12:00,08:07:00,08:11:00,-0.06666666666666667,-0.016666666666666666
STWMRKT,08:23:00,08:23:00,08:21:00,08:21:00,-0.03333333333333333,-0.03333333333333333
DISS,08:35:00,08:36:00,08:33:00,08:35:00,-0.03333333333333333,-0.016666666666666666
NRCH,08:56:00,,08:51:00,,-0.08333333333333333,
LIVST,,07:30:00,,07:29:00,,-0.016666666666666666
CHLMSFD,08:00:00,08:02:00,08:00:00,08:02:00,0.0,0.0
CLCHSTR,08:21:00,08:23:00,08:20:00,08:22:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,08:31:00,08:31:00,08:30:00,08:31:00,-0.016666666666666666,0.0
IPSWICH,08:43:00,08:44:00,08:42:00,08:43:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,08:55:00,08:55:00,08:54:00,08:55:00,-0.016666666666666666,0.0
DISS,09:07:00,09:08:00,09:07:00,09:08:00,0.0,0.0
NRCH,09:27:00,,09:26:00,,-0.016666666666666666,
LIVST,,07:55:00,,07:57:00,,0.03333333333333333
CLCHSTR,08:45:00,08:47:00,08:45:00,08:47:00,0.0,0.0
MANNGTR,08:55:00,08:55:00,08:54:00,08:55:00,-0.016666666666666666,0.0
IPSWICH,09:07:00,09:08:00,09:05:00,09:07:00,-0.03333333333333333,-0.016666666666666666
DISS,09:28:00,09:29:00,09:27:00,09:29:00,-0.016666666666666666,0.0
NRCH,09:48:00,,09:45:00,,-0.05,
LIVST,,08:30:00,,08:29:00,,-0.016666666666666666
STFD,,08:38:00,08:37:00,08:38:00,,0.0
CHLMSFD,09:03:00,09:03:00,09:03:00,09:04:00,0.0,0.016666666666666666
CLCHSTR,09:23:00,09:23:00,09:22:00,09:23:00,-0.016666666666666666,0.0
MANNGTR,09:31:00,09:31:00,09:31:00,09:32:00,0.0,0.016666666666666666
IPSWICH,09:43:00,09:44:00,09:42:00,09:44:00,-0.016666666666666666,0.0
STWMRKT,09:55:00,09:55:00,09:54:00,09:54:00,-0.016666666666666666,-0.016666666666666666
DISS,10:07:00,10:08:00,10:06:00,10:08:00,-0.016666666666666666,0.0
NRCH,10:27:00,,10:24:00,,-0.05,
LIVST,,09:00:00,,08:59:00,,-0.016666666666666666
CLCHSTR,09:46:00,09:47:00,09:43:00,09:47:00,-0.05,0.0
MANNGTR,09:55:00,09:55:00,09:54:00,09:56:00,-0.016666666666666666,0.016666666666666666
IPSWICH,10:06:00,10:08:00,10:05:00,10:08:00,-0.016666666666666666,0.0
DISS,10:28:00,10:29:00,10:28:00,10:30:00,0.0,0.016666666666666666
NRCH,10:51:00,,10:49:00,,-0.03333333333333333,
LIVST,,09:30:00,,09:30:00,,0.0
STFD,,09:38:00,09:36:00,09:38:00,,0.0
CHLMSFD,10:02:00,10:03:00,09:58:00,10:03:00,-0.06666666666666667,0.0
CLCHSTR,10:22:00,10:23:00,10:20:00,10:23:00,-0.03333333333333333,0.0
MANNGTR,10:31:00,10:31:00,10:30:00,10:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,10:43:00,10:44:00,10:41:00,10:43:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,10:55:00,10:55:00,10:54:00,10:54:00,-0.016666666666666666,-0.016666666666666666
DISS,11:07:00,11:08:00,11:06:00,11:08:00,-0.016666666666666666,0.0
NRCH,11:27:00,,11:30:00,,0.05,
LIVST,,10:30:00,,10:29:00,,-0.016666666666666666
STFD,,10:38:00,10:37:00,10:38:00,,0.0
CHLMSFD,11:02:00,11:03:00,10:58:00,11:03:00,-0.06666666666666667,0.0
CLCHSTR,11:22:00,11:23:00,11:19:00,11:23:00,-0.05,0.0
MANNGTR,11:31:00,11:31:00,11:30:00,11:33:00,-0.016666666666666666,0.03333333333333333
IPSWICH,11:43:00,11:43:00,11:42:00,11:43:00,-0.016666666666666666,0.0
STWMRKT,11:54:00,11:54:00,11:53:00,11:54:00,-0.016666666666666666,0.0
